Date,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL_MA10,AAPL_MA50,AAPL_RSI,AMZN_MA10,AMZN_MA50,AMZN_RSI,GOOGL_MA10,GOOGL_MA50,GOOGL_RSI,MSFT_MA10,MSFT_MA50,MSFT_RSI,TSLA_MA10,TSLA_MA50,TSLA_RSI
2018-01-02,40.38099670410156,59.45050048828125,53.29293441772461,79.19834899902344,21.368667602539062,,,,,,,,,,,,,,,
2018-01-03,40.37396240234375,60.209999084472656,54.20216369628906,79.56690216064453,21.149999618530273,,,0.0,,,100.0,,,100.0,,,100.0,,,0.0
2018-01-04,40.56150817871094,60.47949981689453,54.4127082824707,80.26721954345703,20.974666595458984,,,195.15719275960623,,,100.0,,,100.0,,,100.0,,,0.0
2018-01-05,41.0233039855957,61.457000732421875,55.13423538208008,81.26235961914062,21.10533332824707,,,115.41002445737365,,,100.0,,,100.0,,,100.0,,,-4.890629369374182
2018-01-08,40.870941162109375,62.34349822998047,55.328887939453125,81.3453140258789,22.42733383178711,,,164.3489280815644,,,100.0,,,100.0,,,100.0,,,-124.53960086504668
2018-01-09,40.86623764038086,62.6349983215332,55.25838088989258,81.2900161743164,22.246000289916992,,,166.69895263381517,,,100.0,,,100.6802622350076,,,101.04798366838749,,,-106.5806185749822
2018-01-10,40.85685348510742,62.71649932861328,55.12678527832031,80.92143249511719,22.31999969482422,,,171.9827622086351,,,100.0,,,102.07596651714638,,,109.26774118203627,,,-120.55820675974755
2018-01-11,41.08894348144531,63.83399963378906,55.22163009643555,81.16101837158203,22.530000686645508,,,139.03136041013443,,,100.0,,,102.05386722706555,,,108.7684390322131,,,-178.0562609593136
2018-01-12,41.513240814208984,65.26000213623047,56.145259857177734,82.56161499023438,22.4146671295166,,,120.5293448846089,,,100.0,,,101.8475979941352,,,106.54763382638556,,,-154.26979830436284
2018-01-16,41.30226516723633,65.24299621582031,56.147743225097656,81.40979766845703,22.67066764831543,40.88382530212402,,161.53182938304718,62.36289939880371,,100.17301741070453,55.02707290649414,,101.84706087437588,80.89840240478516,,137.35804520707111,21.920733642578124,,-273.55921244436456
2018-01-17,41.98442077636719,64.75,56.56487274169922,83.05919647216797,23.143999099731445,41.04416770935059,,128.16682862612328,62.892849349975585,,105.89286746403998,55.3542667388916,,101.75478218799934,81.28448715209962,,125.83643774442214,22.098266792297363,,-5572.827217844109
2018-01-18,42.02192306518555,64.66600036621094,56.40943908691406,83.0223388671875,22.971332550048828,41.208963775634764,,127.29070562968397,63.338449478149414,,107.01409397347557,55.574994277954104,,103.83653520633847,81.63003082275391,,126.77736657823992,22.28040008544922,,-847.8445876823786
2018-01-19,41.83440017700195,64.72899627685547,56.78335952758789,82.93020629882812,23.334667205810547,41.336252975463864,,152.9012887452737,63.76339912414551,,106.95462098469116,55.81205940246582,,103.64342592415323,81.89632949829101,,129.38168397120432,22.516400146484376,,1128.749106054064
2018-01-22,41.49214553833008,66.3655014038086,57.809288024902344,84.41372680664062,23.437332153320312,41.3831371307373,,252.9216894169803,64.25424919128417,,105.62120091459842,56.07956466674805,,103.17171050526628,82.21146621704102,,121.66440748023118,22.7496000289917,,729.3694278936877
2018-01-23,41.50151062011719,68.12699890136719,58.40566635131836,84.68094635009766,23.519332885742188,41.446194076538085,,250.0296679846546,64.83259925842285,,104.5990577519362,56.38724250793457,,102.93391324956656,82.54502944946289,,120.61411232545,22.858799934387207,,571.815585240218
2018-01-24,40.8404541015625,67.87550354003906,58.1633415222168,84.60719299316406,23.05933380126953,41.44361572265625,,-571.3396097294222,65.35664978027344,,107.60761484086173,56.67773857116699,,106.4254742870634,82.87674713134766,,122.37756830790359,22.94013328552246,,-1116.1025711305883
2018-01-25,40.111419677734375,68.89749908447266,58.702125549316406,85.0771713256836,22.50933265686035,41.369072341918944,,-116.56222367713815,65.97474975585938,,106.75707801113347,57.0352725982666,,105.94280042551833,83.2923210144043,,120.33707268831833,22.959066581726074,,-232.4776683123734
2018-01-26,40.205169677734375,70.10250091552734,58.97126770019531,86.6712646484375,22.856666564941406,41.28069496154785,,-143.39211796383353,66.6015998840332,,105.91708477941668,57.41023635864258,,105.7119735010843,83.84334564208984,,115.25574865814015,22.991733169555665,,-620.3245963644642
2018-01-29,39.373008728027344,70.88400268554688,58.917640686035156,86.5422592163086,23.302000045776367,41.066671752929686,,-65.64710198546581,67.16399993896485,,105.44437776380329,57.68747444152832,,106.60043967290628,84.24141006469726,,117.82136333707109,23.08046646118164,,1279.463019890917
2018-01-30,39.14091873168945,71.89099884033203,58.46525955200195,85.45496368408203,23.05466651916504,40.850537109375,,-56.45375076354645,67.82880020141602,,104.90105673365326,57.91922607421875,,115.41244847196435,84.64592666625977,,147.6545769915525,23.1188663482666,,-2215.6629998716407
2018-01-31,39.24874496459961,72.54450225830078,58.70609664916992,87.54664611816406,23.62066650390625,40.57696952819824,,-68.24188618698366,68.60825042724609,,104.5815187662762,58.13334846496582,,114.71504960254855,85.09467163085938,,131.25758351326508,23.166533088684083,,503.9787110936275
2018-02-01,39.330806732177734,69.5,58.67481231689453,86.85555267333984,23.28333282470703,40.30785789489746,,-79.31519326863275,69.091650390625,,155.42003405378517,58.35988578796387,,115.44581162998603,85.47799301147461,,149.56923841592197,23.1977331161499,,2047.1476178457917
2018-02-02,37.624229431152344,71.49749755859375,55.576683044433594,84.57037353515625,22.916667938232422,39.8868408203125,,-32.05881380220072,69.76850051879883,,141.25132076106956,58.239218139648436,,360.07078064112926,85.64200973510742,,297.22924898403517,23.15593318939209,,-792.1700278685499
2018-02-05,36.6842041015625,69.5,52.755638122558594,81.08728790283203,22.208667755126953,39.40604667663574,,-23.68710208579597,70.08195037841797,,194.91723792836854,57.73385314941406,,-334.0586270676715,85.30936584472656,,-479.01524478702095,23.033066749572754,,-203.9508875047121
2018-02-06,38.21730422973633,72.14199829101562,53.850093841552734,84.15571594238281,22.264667510986328,39.07762603759765,,-128.47946628876463,70.48345031738282,,161.58761584303187,57.2782958984375,,-2130.8108020813206,85.25684280395508,,491.84340484323087,22.90760021209717,,-224.4737411804541
2018-02-07,37.39918518066406,70.83899688720703,52.409027099609375,82.57081604003906,23.0,38.733499145507814,,-86.40785685913121,70.77979965209961,,198.6329613389119,56.702864456176755,,-310.17861095668883,85.05320510864257,,7306.965786083276,22.901666831970214,,-7080.098833255435
2018-02-08,36.37009048461914,67.5250015258789,50.040374755859375,78.3321762084961,21.01533317565918,38.359366226196286,,-59.856350950858285,70.64254989624024,,533.8716466711196,55.83668937683105,,-123.45693638169229,84.37870559692382,,-187.80279928601777,22.752266883850098,,-113.4405867919877
2018-02-09,36.8149528503418,66.9800033569336,51.95515823364258,81.25314331054688,20.69466781616211,38.02034454345703,,-86.54126815078115,70.33030014038086,,761.4807073437123,55.13507843017578,,-369.51236784562053,83.83689346313477,,-1105.2681205047422,22.536067008972168,,-96.85742866563797
2018-02-12,38.29781723022461,69.3115005493164,52.3668212890625,82.1285400390625,21.048667907714844,37.912825393676755,,-365.46175813051826,70.17304992675781,,323.1594581438211,54.47999649047851,,-530.1711833720179,83.39552154541016,,41858.13379157457,22.310733795166016,,-138.26676345038967
2018-02-13,38.68146896362305,70.72550201416016,52.34596633911133,82.77354431152344,21.577333450317383,37.86688041687012,,-697.8519766182102,70.05650024414062,,255.7519273820201,53.86806716918945,,-520.455067014994,83.1273796081543,,1525.918579341743,22.16300048828125,,-260.0856281305276
2018-02-14,39.394649505615234,72.55249786376953,53.267601013183594,84.06963348388672,21.487333297729492,37.88147087097168,,1957.2443841024826,70.0572998046875,,209.66083109041807,53.32421760559082,,-4754.497585341922,82.77967834472656,,561.4467403481856,21.949667167663574,,-237.7960127423524
